1,4067,13
1,4073,73
1,4075,33
1,8400,77
2,4059,86
2,4062,80
2,4063,18
2,4340,82
3,3590,53
3,3591,5
3,4053,58
3,4055,45
4,3592,86
4,3593,39
4,4145,3
5,4140,69
5,4141,63
5,4198,71
5,4199,100
6,3594,24
6,3595,26
6,3596,12
6,4195,61
7,3604,45
7,4147,17
7,4191,61
8,3605,38
8,4149,49
8,4151,82
8,4189,99
9,3606,53
9,3607,49
9,4186,4
9,4234,78
10,3608,64
10,4181,23
10,4183,56
10,4185,42
11,3609,60
11,3610,86
11,4154,8
12,3939,33
12,3955,28
12,3957,48
12,3959,15
13,3611,97
13,3612,78
13,4158,87
14,4091,42
14,4160,83
14,4161,50
15,3654,76
15,3697,6
15,3698,32
15,3699,27
16,3704,39
16,4041,22
16,4044,14
17,3705,56
17,4031,25
17,4033,89
18,3706,47
18,3707,94
18,4205,91
19,4132,29
19,4134,88
19,4136,55
19,4219,48
20,4281,72
20,4282,83
20,4283,22
20,4300,98
21,3708,62
21,3709,50
21,3710,14
21,3711,26
22,3712,52
22,4272,84
22,4273,72
23,3714,14
23,3715,27
23,3716,50
23,3717,83
24,3718,72
24,4227,79
24,4270,77
24,4386,35
25,3719,95
25,3720,98
25,3721,100
25,4268,5
26,3722,8
26,3723,20
26,3724,83
26,3725,81
27,3726,70
27,4230,73
27,4264,35
27,4266,55
28,3728,71
28,3729,74
29,3731,56
29,3732,48
29,3733,48
29,3734,9
30,3735,69
30,3736,37
30,3737,40
30,4260,66
31,4312,1
31,4314,50
31,4375,54
31,4376,64
32,3738,54
32,3740,72
32,3741,54
32,3742,9
33,3744,42
33,3745,32
33,3746,46
33,4251,19
34,3747,22
34,3748,72
34,3749,77
34,3750,97
35,4248,26
35,4320,16
35,4322,46
36,4247,19
36,8401,58
36,8402,4
37,3751,73
37,3752,9
37,3753,87
37,4241,80
38,3754,88
38,3755,86
38,3756,2
38,4170,74
39,4171,98
39,4173,79
39,4245,41
40,3739,43
40,3757,64
40,3758,30
40,3759,38
41,3760,85
41,3761,96
41,3762,21
41,3763,8
42,3764,26
42,3765,64
42,3766,73
42,3767,92
43,3768,32
43,3769,86
43,3770,1
43,3910,65
44,3922,47
44,3924,75
44,3926,28
44,3928,70
45,3989,48
45,4069,13
45,4070,92
45,4072,31
46,3771,83
46,3772,87
46,3991,45
46,3992,98
47,3773,27
47,3774,27
47,4057,88
47,4335,48
48,3775,42
49,3776,7
49,4015,92
49,4025,51
50,3777,87
50,3778,21
50,4019,74
51,3778,97
51,3779,24
51,3780,59
51,4027,19
52,3781,72
52,3782,46
52,3783,89
53,4020,79
54,4213,24
55,3347,8
55,3784,42
55,3785,38
55,5649,13
56,3786,39
56,3787,49
56,3788,54
56,3789,90
57,3790,33
57,3791,31
57,3792,19
57,3793,92
58,3840,23
58,3849,54
58,3857,41
58,4296,7
59,4359,55
60,3859,17
60,3860,66
60,3861,69
61,4543,85
62,3863,28
62,3864,15
62,3865,92
62,3866,96
63,3352,96
63,3867,47
63,3868,48
63,3869,57
64,3871,58
64,3872,74
64,3873,33
64,3874,42
65,3875,52
65,3876,55
65,3877,35
65,3879,2
66,3881,20
66,3882,4
66,3883,84
66,3884,1
67,3885,15
67,3886,2
67,3888,83
67,13291,63
68,3889,6
68,3890,81
68,3891,73
68,3892,88
69,5666,80
69,5667,62
69,5668,23
69,5669,75
70,4544,62
71,4545,62
71,5671,44
71,5672,94
72,4547,100
73,5673,35
73,5675,8
73,5676,3
73,5678,64
74,3358,88
74,5679,63
74,5680,97
74,5681,1
75,5682,71
75,5683,48
75,5684,78
75,5685,51
76,3363,68
76,5686,10
76,5687,75
76,5688,27
77,3349,60
77,3350,71
77,3355,26
77,5690,92
78,3348,29
78,5691,99
78,5692,70
78,5693,1
79,5629,89
79,5694,76
79,5695,31
80,5696,83
80,5697,79
80,5698,26
81,5699,74
81,5700,32
82,4390,48
82,5701,11
82,5702,31
83,3362,9
83,5703,20
83,5704,44
83,5705,60
84,5706,48
84,5707,2
84,5708,60
85,5628,63
85,5709,74
85,5710,27
86,5627,8
86,5711,47
86,5712,8
87,3366,2
87,5713,11
87,5714,92
87,5715,83
88,5716,83
88,5717,70
89,5718,51
90,5622,96
91,5720,53
91,5721,51
91,13290,69
92,5626,64
92,5722,57
92,5723,7
93,5624,3
94,4458,25
94,5727,5
95,5724,2
95,5725,9
96,2912,94
96,4000,17
96,4001,4
96,4003,13
97,4534,43
98,5623,52
99,3370,2
100,5726,35
101,5727,87
101,5728,12
102,3313,7
102,9258,46
103,8619,57
104,1699,93
104,9206,1
105,2885,91
105,2952,64
106,3743,11
106,5729,9
107,4560,23
107,5730,18
107,6111,33
108,3380,91
108,5731,65
108,9256,22
109,5732,37
110,3376,2
110,5733,75
110,5734,73
111,4571,45
111,5735,61
111,5736,94
112,5737,59
112,5738,21
112,5739,84
113,3378,38
113,3379,98
113,6053,65
114,3377,40
114,5740,56
114,5741,95
115,5742,70
115,5743,90
115,5744,51
116,5745,58
116,5746,57
116,5747,98
117,5748,48
117,5749,63
117,5750,2
118,5751,35
118,5752,79
118,5753,59
119,4566,32
119,5754,55
119,5755,63
119,5756,59
120,5757,71
120,5758,83
120,5759,2
121,3375,11
121,5760,52
121,5761,37
121,5762,21
122,3373,68
122,3374,49
122,4594,80
122,5763,41
123,2931,51
123,5764,63
123,5765,70
124,5766,3
124,5767,27
124,5768,69
124,5769,28
125,2910,37
125,5770,72
125,5771,75
126,5772,95
126,5773,8
126,5774,29
127,5775,39
127,5776,73
127,5777,39
127,5778,62
128,3384,26
128,5779,28
128,5780,30
128,5781,44
129,5915,86
129,5916,59
129,5917,84
130,5918,23
130,5919,57
130,5920,42
130,5921,1
131,3389,35
131,5922,40
131,5923,5
132,5633,92
132,5924,59
132,5925,48
133,3390,84
133,5926,69
133,5927,58
134,3395,56
134,5928,67
134,5929,51
134,5930,49
135,3394,41
135,5634,13
135,5931,95
136,2908,45
136,2909,63
136,2929,3
137,5932,17
137,5933,18
137,5934,84
138,3388,35
138,5935,81
138,5936,45
139,3386,98
139,5937,42
139,5938,69
139,5939,37
140,5940,95
140,5941,43
140,5942,12
140,5943,47
141,5944,42
141,5945,40
141,5946,21
141,5947,12
142,5948,61
142,5949,64
142,5950,86
143,5951,7
143,5952,78
143,5953,76
143,5954,35
144,3393,93
144,5955,86
144,5956,48
144,5957,30
145,5635,79
145,5636,53
145,5958,12
146,5959,45
146,5960,80
146,5961,24
147,3397,85
147,5962,74
147,5963,9
147,5964,93
148,2930,42
148,5965,25
148,6320,89
149,5966,38
149,5967,17
149,5968,63
150,5969,57
150,5970,76
150,9044,96
151,5971,18
151,5972,37
151,5973,40
152,5974,70
152,5975,83
152,5976,32
152,5977,62
153,3403,55
153,5978,8
153,5979,100
154,5980,53
154,5981,25
155,5982,99
155,5983,50
155,5984,92
156,3399,4
156,5985,4
156,5986,35
157,5987,50
157,5988,70
157,5989,1
158,5990,82
158,5991,38
158,5992,95
158,5993,99
159,3400,1
159,4731,52
159,5637,85
160,5994,58
160,5995,77
160,5996,48
161,3401,56
161,5997,1
161,5998,8
162,2886,32
162,5999,92
162,6000,100
162,6001,99
163,6002,62
163,6003,5
163,6004,23
164,3405,25
164,6005,69
